,매장명,주소,Tel,일시
212,041-952-5757,(하)서천휴게소점,충청남도 서천군 비인면 서해안고속도로 169 .,2023-11-16 16:36:02.922507
213,063-255-3000,전주에코시티세병호점,전라북도 전주시 덕진구 세병로 176 (송천동2가) 1층~2층,2023-11-16 16:36:02.922507
214,031-523-3948,다산리코빌파크뷰점,"경기도 남양주시 다산순환로 220 (다산동) 104 ~107호, 다산동 6020",2023-11-16 16:36:02.922507
215,02-364-7787,서대문농협생명빌딩점,"서울시 서대문구 통일로 87  미근동 257, NH농협생명빌딩 동관 1층",2023-11-16 16:36:02.922507
216,043-217-1477,(하)오창휴게소점,충청북도 청주시 청원구 오창읍 중부고속도로 21 (오창휴게소통영기점) .,2023-11-16 16:36:02.922507
217,043-260-1053,(하)옥산휴게소점,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (옥산휴게소부산방향) 옥산휴게소(하행) 할리스커피,2023-11-16 16:36:02.922507
218,070-4953-9475,김포지식산업센터점,"경기도 김포시 태장로 795번길 145, 아셈호텔 1층 장기동 2011-2",2023-11-16 16:36:02.922507
219,031-8086-8211,군포IT밸리점,"경기도 군포시 고산로148번길 17 (당정동, 군포IT밸리) 1층",2023-11-16 16:36:02.922507
220,061-795-6600,광양중동점,전라남도 광양시 공영로 92-1 (중동) .,2023-11-16 16:36:03.170457
221,053-620-0001,대구이월드점,대구광역시 달서구 두류공원로 200 (두류동) . ,2023-11-16 16:36:03.170457
222,042-861-6947,대전문지점,대전광역시 유성구 문지로299번길 94-19 (문지동) 1층,2023-11-16 16:36:03.170457
223,053-759-5779,대구범어천로점,"대구광역시 수성구 범어천로 200 (범어동, 범어월드메르디앙웨스턴카운티) 102호,201호",2023-11-16 16:36:03.170457
224,02-2664-7876,마곡나인스퀘어점,"서울특별시 강서구 공항대로 206 (마곡동, 나인스퀘어) 마곡동 800, 101,102,103호",2023-11-16 16:36:03.170457
225,063-246-2203,전주아중점,"전라북도 전주시 덕진구 아중로 193 (우아동2가) 1,2층 ",2023-11-16 16:36:03.170457
226,0507-1384-9696,청주명암레이크점,충북 청주시 상당구 용담동 449  .,2023-11-16 16:36:03.170457
227,032-743-3716,인천공항T1점,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 L/S 1층",2023-11-16 16:36:03.170457
228,031-8094-8747,이천하이닉스점,경기도 이천시 부발읍 경충대로 2091 연구개발동 1층,2023-11-16 16:36:03.170457
229,070-5226-1999,수유사거리점,서울특별시 강북구 도봉로82길 11 (번동) 2~4층 ,2023-11-16 16:36:03.170457
230,02-3789-8747,명동퍼시픽호텔점,"서울특별시 중구 퇴계로20길 2 (남산동2가, 퍼시픽호텔) 1층 ",2023-11-16 16:36:03.393779
231,070-8820-3117,천안펜타포트점,"충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 5층",2023-11-16 16:36:03.393779
232,02-412-3260,아시아선수촌점,서울특별시 송파구 백제고분로 109 (잠실동) 1층~4층,2023-11-16 16:36:03.393779
233,02-831-3085,보라매병원점,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,2023-11-16 16:36:03.393779
234,062-959-3327,광주수완2호점,"광주광역시 광산구 수완로 73번길 7, 1층 (수완동)  1층",2023-11-16 16:36:03.393779
235,031-204-0065,수원망포점,"경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 125,126,127,212호 (영통동)",2023-11-16 16:36:03.393779
236,070-8800-3998,세종어반아트리움점,"세종특별자치시 나성로 96 (나성동, 더센트럴) 101,102호",2023-11-16 16:36:03.393779
237,02-6406-0046,무악재역점,"서울특별시 서대문구 통일로 360 (홍제동, 보하빌딩) .",2023-11-16 16:36:03.393779
238,070-4109-5800,대전한남대점,대전 대덕구 한남로 65 오정동 172-3,2023-11-16 16:36:03.393779
239,031-630-0001,(하)마장휴게소점,"경기도 이천시 마장면중부고속도로82 마장휴게소 하행 통영방향, 목리 산 13-32",2023-11-16 16:36:03.393779
240,031-377-5823,오산수청점,"경기도 오산시 내삼미로79번길 46 (수청동 619-1) 101~104호 (수청동, 어반스페이스타워)",2023-11-16 16:36:03.612675
241,02-701-5785,공덕점,"서울특별시 마포구  마포대로 143 (공덕동, 마포공덕파크팰리스 Ⅱ) 1층 (114~121호)",2023-11-16 16:36:03.612675
242,없음,(상)예산휴게소점,충청남도 예산군 신양면 당진영덕고속도로 33 (예산휴게소 상행) 당진 방향,2023-11-16 16:36:03.612675
243,02-2233-0866,약수역점,"서울특별시 중구 다산로 114 (신당동,1~2층)",2023-11-16 16:36:03.612675
244,053-584-5702,대구성서점,"대구광역시 달서구 성서로 419, 국민연금대구사옥 1층 (이곡동 1198-5) 할리스",2023-11-16 16:36:03.612675
245,052-276-3535,울산야음점,"울산 남구 수암로 138, 타임스퀘어 상가 야음동 789-14, 101호",2023-11-16 16:36:03.612675
246,02-323-7791,홍대역점,서울특별시 마포구 어울마당로 111 (동교동) 2층,2023-11-16 16:36:03.612675
247,02-322-3684,신촌연세로점,"서울특별시 서대문구 연세로 5, 1층 (창천동 30-7) 할리스",2023-11-16 16:36:03.612675
248,070-4042-3118,용인명지대점,경기도 용인시 처인구 명지로116번길 24-2 (남동) 1~2층,2023-11-16 16:36:03.612675
249,070-8835-5073,용산아이파크몰 영풍문고점,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역) 용산역 리빙관 3층(한강로 3가)",2023-11-16 16:36:03.612675
250,063-221-5072,국민연금공단점,전북 전주시 덕진구  기지로 170 국민연금공단 국민누리관 1층,2023-11-16 16:36:03.829654
251,051-517-1110,부산금강식물원점,"부산광역시 금정구 금샘로 22 (장전동) 1,2층 금정구 장전동 521-68외1필지 1,2층",2023-11-16 16:36:03.829654
252,02-6267-6800,선유도역점TS카페,"서울특별시 영등포구 양평로 96 (양평동4가) TS빌딩 1,2층",2023-11-16 16:36:03.829654
253,02-862-3216,구로역점,서울특별시 구로구 새말로 18-29 (구로동) .,2023-11-16 16:36:03.829654
254,없음,공덕역북카페점,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층, 공덕동 423-29",2023-11-16 16:36:03.829654
255,063-584-0011,부안격포채석강점,전라북도 부안군 변산면 채석강길 22-10 .,2023-11-16 16:36:03.829654
256,053-324-6122,대구관음점,"대구광역시 북구 구암로 59 비전스퀘어 1,2층 .",2023-11-16 16:36:03.829654
257,042-365-0365,대전가장점,"대전광역시 서구 도솔로 314  1층, 2층(괴정동, SL 빌딩)",2023-11-16 16:36:03.829654
258,042-862-3335,대전신성점,대전광역시 유성구 유성대로1184번길 18 (신성동) .,2023-11-16 16:36:03.829654
259,02-2200-1303,왕십리역점,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",2023-11-16 16:36:03.829654
260,041-563-4700,천안쌍용점,"충청남도 천안시 서북구 미라13길 16 (쌍용동) 쌍용동 955, 성건오피스텔 1층",2023-11-16 16:36:04.078352
261,02-786-3485,전경련회관점,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호 ",2023-11-16 16:36:04.078352
262,070-4442-0608,양산부산대병원치과동점,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 치과병동 1층(범어리 2762-1) 할리스",2023-11-16 16:36:04.078352
263,055-362-4582,양산부산대병원본점,"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원 중앙진료동 1층(범어리 2762-1) 할리스",2023-11-16 16:36:04.078352
264,031-792-9389,하남덕풍점,경기도 하남시 덕풍북로 2 (덕풍동) 1층,2023-11-16 16:36:04.078352
265,051-311-5399,부산백양대로DI점,"부산광역시 사상구 백양대로 621, 2~4층(괘법동 141) 할리스",2023-11-16 16:36:04.078352
266,032-425-0915,간석오거리점,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,2023-11-16 16:36:04.078352
267,02-2281-2116,한양대병원점,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 본관 1층 (사근동 110, 한양대학부속병원) 할리스",2023-11-16 16:36:04.078352
268,02-6411-0063,서초마제스타시티점,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티,힐스테이트서리풀) 1층",2023-11-16 16:36:04.078352
269,031-404-7966,월곶점,경기도 시흥시 월곶중앙로 63 (월곶동) .,2023-11-16 16:36:04.078352
270,042-485-9777,대전만년점,"대전광역시 서구 둔산대로117번길 95 (만년동, 리더스타운) 만년동 309",2023-11-16 16:36:04.299451
271,.,(하)선산휴게소점,경상북도 구미시 옥성면 중부내륙고속도로 129 .,2023-11-16 16:36:04.299451
272,031-224-6999,화성융건릉점,"경기도 화성시 효행로 501-3 1,2층",2023-11-16 16:36:04.299451
273,042-482-8425,대전탄방점,"대전광역시 서구 계룡로571번길 23-19 (탄방동) 1층 102호,103호,104호 / 탄방동 688",2023-11-16 16:36:04.299451
274,063-901-0802,서전주DT점,전라북도 전주시 완산구 유연로 5 (효자동3가 1045-50) ,2023-11-16 16:36:04.299451
275,031-996-2000,김포한강생태공원점,"경기도 김포시 김포한강11로 452,1~2층  운양동 1264-4",2023-11-16 16:36:04.299451
276,051-557-7811,부산명륜역점,부산광역시 동래구 온천장로 5 (온천동) 1층,2023-11-16 16:36:04.299451
277,055-745-9633,진주평거점,"경상남도 진주시 진양호로 46 (평거동) 1층,2층 (에스원빌딩)",2023-11-16 16:36:04.299451
278,031-211-5718,아주대병원점,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원) 아주대학교병원 본관 1층",2023-11-16 16:36:04.299451
279,053-761-5655,대구수성못점,대구광역시 수성구 용학로 115 두산동 690,2023-11-16 16:36:04.299451
280,053-942-1033,동대구역사점,대구광역시 동구 동대구로 550 (동대구역 내 1층),2023-11-16 16:36:04.545762
281,02-2266-1989,종로5가점,서울특별시 종로구 동호로 401(종로5가) .,2023-11-16 16:36:04.545762
282,051-342-8835,부산덕천점,"부산광역시 북구 덕천1길 21, 1~2층 (덕천동 400-14) 할리스",2023-11-16 16:36:04.545762
283,032-505-7130,부평로데오점,"인천광역시 부평구 시장로 17-1 (부평동, 인일 빌딩) 1,2,3층",2023-11-16 16:36:04.545762
284,043-239-0075,충북오송점,충청북도 청주시 흥덕구 오송읍 만수1길 3 .,2023-11-16 16:36:04.545762
285,02-761-3154,여의도파이낸스타워점,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",2023-11-16 16:36:04.545762
286,031-986-7932,김포농협본점,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층,2023-11-16 16:36:04.545762
287,070-7778-2409,다산지금점,경기도 남양주시 다산중앙로82번안길 143-15 101호,2023-11-16 16:36:04.545762
288,02-741-5815,서울대병원점,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",2023-11-16 16:36:04.545762
289,070-7547-4100,구로디지털뉴스테이점,서울시 영등포구 시흥대로 595 104~5호,2023-11-16 16:36:04.545762
290,054-744-7700,경주보불로점,경북 경주시 보불로 305 .,2023-11-16 16:36:04.762695
291,063-547-9600,전북김제점,전북 김제시 검산택지 5길 21-10 1층,2023-11-16 16:36:04.762695
292,053-353-5544,대구침산네거리점,대구광역시 북구 침산남로 157 (침산동) .,2023-11-16 16:36:04.762695
293,053-961-7007,대구반야월점,대구광역시 동구 안심로 255 .,2023-11-16 16:36:04.762695
294,02-6031-6213,센터포인트점,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",2023-11-16 16:36:04.762695
295,02-322-3584,홍대입구역점,"서울특별시 마포구 양화로 151, 1층 (동교동 160-1) 할리스",2023-11-16 16:36:04.762695
296,063-442-8777,군산미장점,전라북도 군산시 미장안길 54  통큰타운3동 105호,2023-11-16 16:36:04.762695
297,02-585-9150,백석예술대학교점,"서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) 방배동 981-17",2023-11-16 16:36:04.762695
298,042-522-3141,대전오류점,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 오류동 151-3",2023-11-16 16:36:04.762695
299,2188-7100,카페테리아&삼성점,"서울시 강남구 삼성로 512, 10층 인터파크 카페테리아 (삼성동) .",2023-11-16 16:36:04.762695
300,02-501-3573,역삼테헤란점,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 1층 (역삼동 647-9) 할리스",2023-11-16 16:36:05.031142
301,053-267-3338,대구현풍테크노점,대구시 달성군 유가읍 테크노공원로 65 .,2023-11-16 16:36:05.031142
302,061-862-0119,전남장흥점,전라남도 장흥군 장흥읍 북부로 18 .,2023-11-16 16:36:05.031142
303,031-551-0988,구리수택DI점,경기도 구리시 검배로 73 (수택동) 할리스,2023-11-16 16:36:05.031142
304,02-865-0012,난곡사거리점,서울 관악구 남부순환로 1489 신림동 526-13,2023-11-16 16:36:05.031142
305,02-2645-9957,신정네거리역점,서울특별시 양천구 중앙로 252 2층 .,2023-11-16 16:36:05.031142
306,054-604-0375,구미CGV점,"경상북도 구미시 구미중앙로 44 (원평동, 멀티복합상가) 원평동 68-1, 1층",2023-11-16 16:36:05.031142
307,070-8887-4965,역곡역점,경기 부천시 부일로726번길 5 (역곡동 80) 역곡역 2번출구 사거리에서 가톨릭대학교방향 좌회전 후 약 50M,2023-11-16 16:36:05.031142
308,031-372-9750,오산대역DT점,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,2023-11-16 16:36:05.031142
309,02-318-6381,을지로입구점,서울특별시 중구 명동3길 23 (을지로2가) 1~4층 할리스 ,2023-11-16 16:36:05.031142
310,054-441-4452,구미금오산DI점,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점 ,2023-11-16 16:36:05.448029
311,.,(하)매송휴게소점,경기 화성시 매송면 서해안고속도로 315 목포방향 서해안고속도로 315 목포방향,2023-11-16 16:36:05.448029
312,.,(상)매송휴게소점,경기 화성시 매송면 서해안고속도로 316 서울방향 .,2023-11-16 16:36:05.448029
313,055-298-3434,창원팔용점,경상남도 창원시 의창구 창원대로 18번길 6-8 (팔용동) .,2023-11-16 16:36:05.449030
314,063-232-6000,전주남천교점,전라북도 전주시 완산구 전주천서로 81  동서학동 66,2023-11-16 16:36:05.449030
315,051-989-3296,부산연산점,부산광역시 연제구 반송로 89 (연산동) 1층,2023-11-16 16:36:05.449030
316,053-353-5412,대구침산점,"대구 북구 성북로 36,2층 601,602,603,604 473-3, 침산초등학교 맞은편",2023-11-16 16:36:05.449030
317,.,(하)홍천휴게소점,강원도 홍천군 화촌면 서울양양고속도로 84 .,2023-11-16 16:36:05.449030
318,031-372-1650,동탄카림애비뉴점,경기도 화성시 동탄대로시범길 134 0001호 .,2023-11-16 16:36:05.449030
319,053-252-6307,대구동성로점,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",2023-11-16 16:36:05.449030
320,055-261-5925,상남중앙점,경상남도 창원시 성산구 마디미로38번길 11 (상남동 25) 할리스,2023-11-16 16:36:05.989776
321,032-425-1793,인천주안역점,"인천광역시 미추홀구 주안로 105 1,2층 주안동 130-10 /남구->미추홀구 변경",2023-11-16 16:36:05.989776
322,052-293-2234,울산삼산대로점,울산광역시 남구 정동로 71 (삼산동) 삼산동,2023-11-16 16:36:05.989776
323,031-568-7232,구리장자호수공원점,"경기도 구리시 장자대로 86번길 18 1,2층 (참참존빌딩)",2023-11-16 16:36:05.989776
324,02-392-1008,이대점,"서울특별시 서대문구 이화여대길 59 (대현동, 메르체쇼핑몰) 엘큐브 3층",2023-11-16 16:36:05.989776
325,053-742-0614,동대구환승센터점,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",2023-11-16 16:36:05.989776
326,031 946 4823,파주야당역점,경기도 파주시 경의로 1042 (야당동) 1층,2023-11-16 16:36:05.990776
327,02-2655-1300,목동예술인회관점,"서울시 양천구 목동서로 225, 예술인회관 1층 1층",2023-11-16 16:36:05.990776
328,031-964-7785,원당점,"경기도 고양시 덕양구 호국로 797, 대동피렌체 104~106호 1층",2023-11-16 16:36:05.990776
329,043-832-7966,(하)괴산휴게소점,충북 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소  할리스커피,2023-11-16 16:36:05.990776
330,070-4325-8801,(상)보성녹차휴게소점,전라남도 보성군 미력면 남해고속도로 63 (보성녹차(목포)주유소) 목포방향,2023-11-16 16:36:06.366915
331,070-4325-8808,(하)보성녹차휴게소점,전남 보성군 겸백면 남해고속도로 70 .,2023-11-16 16:36:06.366915
332,02-501-4255,선릉샹제리제점,"서울특별시 강남구 테헤란로 406 (대치동, 샹제리제센터) A동 1층",2023-11-16 16:36:06.366915
333,032-456-4499,인천연수CGV점,인천 연수구 청능대로 210 (스쿼어원 4층) 동춘동 926 ,2023-11-16 16:36:06.366915
334,054-439-3187,(상)추풍령휴게소점,경북 김천시 봉산면 경부고속도로 214-1 광천리 737-1 (서울방향),2023-11-16 16:36:06.366915
335,052-292-8181,울산풍차DT점,울산광역시 북구 산업로 1448-1 신천동 426,2023-11-16 16:36:06.366915
336,02-578-3372,(하)만남의광장점,"서울특별시 서초구 양재대로12길 73-71 (원지동, 만남의광장) 할리스커피",2023-11-16 16:36:06.366915
337,010-8326-4908,시흥하늘휴게소점,경기도 시흥시 수도권제1순환고속도로 105-1 (조남동) 조남동 15-10,2023-11-16 16:36:06.366915
338,061-282-8280,남악신도시점,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호 .",2023-11-16 16:36:06.366915
339,051-727-3714,(상)장안휴게소점,부산광역시 기장군 장안읍 동해고속도로 26 .,2023-11-16 16:36:06.366915
340,051-727-3647,(하)장안휴게소점,부산광역시 기장군 장안읍 동해고속도로 25 (장안휴게소하행) .,2023-11-16 16:36:06.777441
341,02-2268-8960,충무로역점,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",2023-11-16 16:36:06.777441
342,031-630-0001,(상)마장휴게소점,경기도 이천시 마장면 중부고속도로 82 마장휴게소 상행 하남방향,2023-11-16 16:36:06.777441
343,044-862-9027,세종소담DI점,세종특별자치시 소담로 40 소담동 570,2023-11-16 16:36:06.777441
344,051-242-6552,부산BIFF광장점,"부산 중구 비프광장로 31-1, 1층 .",2023-11-16 16:36:06.777441
345,051-441-0918,부산역사점,"부산광역시 동구 중앙대로 206 (초량동, 한국철도공사부산지역본부) 2층 초량동 1187-1",2023-11-16 16:36:06.777441
346,070-7716-0123,광주일곡점,광주광역시 북구 송해로 81 일곡동 821-5  1~3층,2023-11-16 16:36:06.777441
347,041-354-2004,당진푸르지오점,충청남도 당진시 읍내동 1590 1층 희은빌라 .,2023-11-16 16:36:06.777441
348,042-389-2831,대전전민점,대전광역시 유성구 전민로22번길 62 전민동 306-1,2023-11-16 16:36:06.777441
349,033-432-3368,홍천점,강원도 홍천군 홍천읍 꽃뫼로 98 .,2023-11-16 16:36:06.777441
350,061-283-9800,목포하당점,전라남도 목포시 비파로51번길 37 (상동) .,2023-11-16 16:36:07.088760
351,054-433-4333,김천혁신도시점,경상북도 김천시 혁신로 246 .,2023-11-16 16:36:07.088760
352,053-341-9595,대구팔달교DT점,대구광역시 서구 팔달로 34 .,2023-11-16 16:36:07.088760
353,031-574-5655,별내카페거리점,경기도 남양주시 두물로39번길 33 (별내동) .,2023-11-16 16:36:07.088760
354,031-957-9477,파주탄현점,"경기도 파주시 탄현면 방촌로 1017 1,2층",2023-11-16 16:36:07.088760
355,x,(상)안성휴게소점,경기도 안성시 원곡면 산하리 67-3  000,2023-11-16 16:36:07.088760
356,062-956-6582,광주우산점,광주광역시 광산구 풍영철길로 12 (우산동) 1층,2023-11-16 16:36:07.088760
357,063-467-9500,군산수송점,"전라북도 군산시 수송북로 22 수송동 831-1,1층",2023-11-16 16:36:07.088760
358,031-222-6842,수원인계점,경기도 수원시 팔달구 인계로138번길 49 (인계동) 인계동 1038-12,2023-11-16 16:36:07.088760
359,032-752-1761,영종하늘도시점,"인천 중구 하늘달빛로 90-21 1,2층 중산동 1876-9",2023-11-16 16:36:07.088760
360,02-313-0807,서대문역점,서울특별시 서대문구 통일로9안길 28 (충정로2가) 1층,2023-11-16 16:36:07.495130
361,051-631-3193,동부산우체국점,"부산광역시 동구 조방로 15, 1층  .",2023-11-16 16:36:07.495130
362,031-405-7337,안산로데오점,경기도 안산시 단원구 중앙대로 907 .,2023-11-16 16:36:07.495130
363,070-4228-7345,안성팜랜드점,"경기도 안성시 공도읍 대신두길 28, 안성팜랜드 .",2023-11-16 16:36:07.495130
364,055-372-0268,양산원동점,경상남도 양산시 원동면 원동로 1429 .,2023-11-16 16:36:07.495130
365,062-385-0725,광주금호점,광주광역시 서구 운천로 3 (금호동 762-6) 1층,2023-11-16 16:36:07.495130
366,032-265-0103,인천엠파크허브점,"인천광역시 서구 염곡로 52, 엠파크 허브동 103호 (가좌동 150-19) .",2023-11-16 16:36:07.495130
367,053-553-3002,대구본리점,대구광역시 달서구 장기로 203 (본리동 62-16) .,2023-11-16 16:36:07.495130
368,없음,대구월성CGV점,"대구광역시 달서구 조암로 29 이래타워 4F 월성동, 616",2023-11-16 16:36:07.495130
369,051-271-5600,명지국제신도시점,부산광역시 강서구 명지국제11로 57  명지동 3334-4,2023-11-16 16:36:07.495130
370,062-351-4687,유스퀘어CGV점,"광주광역시 서구 무진대로 904, 유스퀘어 2층 (광천동, 49-1) .",2023-11-16 16:36:07.908107
371,062-251-5684,광주오치점,광주광역시 북구 서하로 185 (오치동 862-21) 1층,2023-11-16 16:36:07.908107
372,062-951-5979,광주운남점,광주광역시 광산구 하남대로 248-13 (운남동 771-3 ) 1층,2023-11-16 16:36:07.908107
373,063-832-4700,익산어양점,"전라북도 익산시 동서로63길 4, 101호 (어양동, 하모니시티) 1층",2023-11-16 16:36:07.908107
374,063-271-5056,전주백제대로점,전라북도 전주시 덕진구 백제대로 592 (금암동) 1층,2023-11-16 16:36:07.908107
375,031-851-3633,의정부민락점,"경기도 의정부시 오목로205번길 55 (민락동, 메가타워) 1,2층",2023-11-16 16:36:07.908107
376,041-522-5024,동천안우체국점,"충청남도 천안시 동남구 청수5로 10, 1층 .",2023-11-16 16:36:07.908107
377,055-854-3574,(상)사천휴게소점,경상남도 사천시 곤양면 묵실길 31-11 (순천방향) .,2023-11-16 16:36:07.908107
378,055-854-3134,(하)사천휴게소점,경상남도 사천시 곤양면 서삼로 619 (부산방향) .,2023-11-16 16:36:07.908107
379,063-228-4005,전북도청점,"전라북도 전주시 완산구 홍산남로 51, 102~103호 일부(효자동3가) 1층",2023-11-16 16:36:07.908107
380,063-581-0620,전북부안점,"전라북도 부안군 부안읍 석정로 269, 1층 .",2023-11-16 16:36:08.315648
381,02-2299-9934,한양대시티빌점,서울특별시 성동구 마조로1가길 9 (행당동) .,2023-11-16 16:36:08.315648
382,033-522-0117,동해촛대바위점,강원도 동해시 촛대바위길 16 (추암동 1-6) .,2023-11-16 16:36:08.315648
383,02-515-1162,논현역점,"서울특별시 서초구 신반포로 332 (반포동, 우진빌딩) 1층",2023-11-16 16:36:08.315648
384,051-255-6100,부산송도점,부산광역시 서구 송도해변로 61-1 .,2023-11-16 16:36:08.315648
385,031-651-2750,평택서재점,"경기도 평택시 서재로 26-24 (동삭동) 1,2층 동삭동 711-14",2023-11-16 16:36:08.315648
386,033-745-5007,원주단계택지점,강원도 원주시 장미공원길 27-9 .,2023-11-16 16:36:08.315648
387,02-451-0723,수서점,"서울특별시 강남구 밤고개로1길 10 (수서동, 수서현대벤쳐빌) 지하1층",2023-11-16 16:36:08.315648
388,031-291-7933,수원오목천점,경기도 수원시 권선구 서수원로 179 1~2층,2023-11-16 16:36:08.315648
389,054-383-6114,(상)군위휴게소점,경상북도 군위군 군위읍 경북대로 4084 부산방향,2023-11-16 16:36:08.315648
390,055-366-0268,양산신도시점,경상남도 양산시 물금읍 야리로 127 .,2023-11-16 16:36:08.728908
391,063-636-7191,(상)지리산휴게소점,전라북도 남원시 아영면 광주대구고속도로 76 (대구방면),2023-11-16 16:36:08.728908
392,063-636-7195,(하)지리산휴게소점,"전라북도 남원시 아영면 광주대구고속도로 75 (지리산휴게소(하)광주방면) (광주, 고서,담양방면)",2023-11-16 16:36:08.728908
393,061-681-2522,여수웅천점,전라남도 여수시 예울마루로 35-24 (웅천동) 웅천동 1699-3,2023-11-16 16:36:08.728908
394,053-522-0666,대구장기점,대구광역시 달서구 장기로 268 .,2023-11-16 16:36:08.728908
395,054-931-5742,(상)남성주휴게소점,"경상북도 성주군 용암면 중부내륙고속도로 76 (본리리, 남성주(양평방향)휴게소) 양평방향",2023-11-16 16:36:08.728908
396,02-591-1555,고속터미널영동선점,"서울특별시 서초구 신반포로 194 (반포동, 강남고속버스터미널) 2층 A-2호",2023-11-16 16:36:08.728908
397,043-731-8096,(상)옥천휴게소점,"충청북도 옥천군 옥천읍 옥천동이로 242-34 (매화리, 옥천상휴게소) .",2023-11-16 16:36:08.728908
398,070-7766-1589,세종어진점,"세종특별자치시 절재로 194 (어진동, 중앙타운) 133호,214호 .",2023-11-16 16:36:08.728908
399,053-321-0099,대구동천점,대구광역시 북구 동천로 125 (동천동) .,2023-11-16 16:36:08.728908
400,054-745-0631,(상)외동휴게소점,경상북도 경주시 외동읍 석계리 970번지 상석길 58-70,2023-11-16 16:36:09.037705
401,054-933-7105,(하)남성주휴게소점,"경상북도 성주군 선남면 중부내륙고속도로 77 (명포리, 남성주(창원방향)휴게소) 창원방향",2023-11-16 16:36:09.037705
402,031-466-2879,안양역점,경기도 안양시 만안구 장내로139번길 61 .,2023-11-16 16:36:09.037705
403,042-826-6080,대전도안마을점,"대전광역시 유성구 도안대로 560 (봉명동, 도안마을1단지) .",2023-11-16 16:36:09.037705
404,063-275-1230,전주하가점,전라북도 전주시 덕진구 가련산로 25 (덕진동2가) 1층,2023-11-16 16:36:09.037705
405,02-2025-0255,구로점,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1층/ 구로동 811",2023-11-16 16:36:09.037705
406,031-938-4055,고양행신점,경기도 고양시 덕양구 충경로 37 (행신동) 1층,2023-11-16 16:36:09.037705
407,031-232-0727,인계써드아이점,경기도 수원시 팔달구 인계로 130 (인계동) 1층,2023-11-16 16:36:09.037705
408,041-548-5024,아산우체국점,"충청남도 아산시 시민로 455 (온천동, 아산우체국) .",2023-11-16 16:36:09.037705
409,041-566-5148,천안두정역점,충청남도 천안시 서북구 두정로 238 (두정동) .,2023-11-16 16:36:09.037705
410,033-534-8902,동해묵호점,"강원도 동해시 해안로 368 (평릉동, 시드니) 1-3층",2023-11-16 16:36:09.440034
411,02-2028-7111,가산디지털단지점,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 가산동 459-11",2023-11-16 16:36:09.440034
412,061-285-0365,목포평화점,전라남도 목포시 미항로 129 .,2023-11-16 16:36:09.440034
413,043-423-5401,(하)단양휴게소점,충청북도 단양군 적성면 기동리 산 74-1 (중앙고속도로 부산방향) 기동리 423-1,2023-11-16 16:36:09.440034
414,062-416-3647,광주조선대점,"광주광역시 동구 필문대로273번길 12, 1,2층(지산동) .",2023-11-16 16:36:09.440034
415,063-564-3357,전북고창점,전라북도 고창군 고창읍 중앙로 195 (읍내리) .,2023-11-16 16:36:09.440034
416,055-943-0992,(상)거창휴게소점,"경상남도 거창군 가조면 가조가야로 1523 (도리, 거창휴게소(상)) .",2023-11-16 16:36:09.441034
417,055-384-0144,(서)양산휴게소점,"경상남도 양산시 동면 목장길 15-50 (내송리, 양산휴게소) .",2023-11-16 16:36:09.441034
418,055-943-0992,(하)거창휴게소점,경상남도 거창군 가조면 가조가야로 1543-81 .,2023-11-16 16:36:09.441034
